"date","Ta_1_1_1","RH_1_1_1","Pa_1_1_1","WD_1_1_1","MWS_1_1_1","PPFD_1_1_1","PPFDr_1_1_1","SWC_1_1_1","Ts_1_1_1","SHF_1_1_1","SHF_1_2_1","SHF_2_1_1","SHF_2_2_1","LWin_1_1_1","LWout_1_1_1","SWout_1_1_1","Rg_1_1_1","Rn_1_1_1","P_rain_1_1_1"
2015-05-01,22.3617401041667,12.2636373916667,85.9177610694445,174.817404715903,3.31489581388889,703.585766864632,80.2765151515152,0.0275454514444444,22.546625125,4.10968665208333,2.89689309583333,10.6794453987328,5.86034524166667,317.578322916667,459.913614583333,60.6250719791667,337.107062958333,134.146698095833,0
2015-05-02,23.6312743263889,13.5350301326389,85.8016280173611,176.984527035417,4.13531243333333,706.709886364799,80.5871212121212,0.0255493228680556,23.7464722916667,3.62451591958333,2.92502709583333,9.75197809587936,5.7704521575,331.15753125,467.063364583333,61.4352903958333,340.036452583333,142.695306879167,0
2015-05-03,22.455253375,23.0891887777778,85.7631228715278,194.217130214583,3.15927079444444,659.355292007236,74.917297979798,0.0242771180729167,24.7256667916667,4.87437358958333,2.92005666458333,12.1412444808742,5.99813847291667,339.244683333333,462.743183333333,55.4906629916667,310.652518433333,131.663329666667,0
2015-05-04,19.4425070902778,46.4401053263889,85.6274509618056,148.068365509597,4.02124994444444,511.17231607259,53.0539772727273,0.0224587846493056,22.6772362083333,-0.985793770833333,-0.627440933333333,0.938768214366547,-0.452569475,355.176141666667,426.55675625,39.33968835,238.578022921042,127.857737395833,4.54566666666667
2015-05-05,16.8868911604167,49.0828622430556,85.6641231180556,205.123763948451,4.98041660208333,650.568802497851,70.5053661616162,0.0226509375173611,20.252111125,-1.69378079166667,-1.52159914583333,-0.414641562196043,-0.428654472916667,322.273320833333,416.700279166667,55.5461657708333,312.74006843125,162.766942,0
2015-05-06,18.7249481513889,30.2675164430556,85.5915455277778,201.77054348125,3.79739578194444,723.523776199923,80.8478535353535,0.0231314757826389,21.3532359166667,2.36304536458333,1.0666830875,7.34051216254448,2.753836975,305.751764583333,433.979014583333,63.1195705625,347.372908802083,156.026066458333,0
2015-05-07,19.3476453541667,17.8157726944444,85.5697839652778,201.457513541667,4.30708327152778,726.908351994826,81.8863636363636,0.0218730035138889,21.9545144166667,3.08783501666667,0.99416728125,8.72604236608744,2.57000029583333,301.663652083333,438.65099375,65.033653875,353.197543166667,151.1765273125,0
2015-05-08,19.8003803958333,22.2037320125,85.5735240347222,204.300497222222,5.17291659027778,733.234680709347,81.9684343434343,0.0205025346736111,22.4549304166667,3.68036504791667,1.403257625,9.85874100829811,2.60019529791667,303.495204166667,440.74653125,65.4414956041667,353.200629229167,150.507786729167,0
2015-05-09,15.8773989972222,18.5014100263889,85.6796423020833,235.795762218778,5.53822909652778,741.8310117105,83.9125631313131,0.0183640103715278,21.14843025,-0.429067577083333,-0.927437045833333,2.00302313898769,-0.412176077083333,277.7720125,416.131033333333,69.0589931041667,365.439664720833,158.021640354167,0
2015-05-10,14.6285048118056,20.6973962680556,85.8050446666667,210.37774074616,2.90499996666667,748.155822915556,84.2847222222222,0.0165467708329861,20.4713609583333,1.15805785416667,-0.466927958333333,5.03702095543993,0.69330128125,279.2742,423.289533333333,66.7974123125,360.905272,150.092514375,0
2015-05-11,18.4336971354167,21.56791531875,86.05796709375,144.392329902847,4.0749999375,660.86830492633,74.9106691919192,0.0166933333371528,21.5878332916667,2.79117809875,0.81009874375,8.158943872501,2.13987331875,303.035935416667,435.984670833333,58.4733984835417,316.888135043542,125.466007916667,7.366
2015-05-12,16.96254375,57.1309886597222,86.1254936284722,116.441811918653,8.61468744444444,541.930933113021,60.7772306397306,0.0167008932244406,21.7637360833333,0.761585225625,0.529992347291667,4.2791116777018,0.351719052083333,336.927947916667,418.30068125,45.5766584166667,246.135561183333,119.186163,9.59033333333333
2015-05-13,15.7403351875,58.8516868194445,86.1067074791667,202.672637467535,1.96104164930556,651.215060143712,67.7951388888889,0.0513014931155556,20.2177917916667,-5.47675566666667,-0.730895214583333,-7.64629275022101,2.40534787916667,339.403491666667,417.880908333333,50.4492645625,325.096879672917,196.170206020833,3.55466666666667
2015-05-14,19.285820875,40.7388636666667,85.89642771875,182.819835840972,4.91916660347222,605.52330111809,67.0179924242424,0.0549147047232639,20.8207359583333,-2.96140183958333,-0.839692077083333,-2.83786496706521,1.21078712083333,334.463616666667,427.801191666667,51.3582161335417,294.96393211875,150.268138145833,1.717
2015-05-15,18.3365865277778,47.5069492361111,85.556833,214.37789673625,6.24489574444445,574.351234010837,62.5650252525252,0.0499512324347222,19.9812918333333,-1.628754116875,-0.781472514583333,-0.290334569538455,-1.003713048125,332.050429166667,419.200260416667,47.7432723958333,274.101494237917,139.208400416667,0
2015-05-16,16.171850875,32.3371164791667,85.6302654861111,232.949978554563,5.97374994097222,689.937689373364,77.4450757575758,0.0461481597201736,19.9107776666667,-3.01659120833333,-1.92337858375,-2.94336666276106,-0.492513572083333,303.778925,414.605572916667,61.656378875,335.650579539583,163.1675325,0
2015-05-17,16.8792046145833,27.4028229097222,86.0860871354167,162.952826704861,3.21760413819444,707.085305631156,80.083648989899,0.0420567535104514,20.39393075,0.638073839583333,-0.0467482416666668,4.04300351121475,2.30921078125,305.091954166667,430.916327083333,61.3714033541667,343.001888214583,155.8061051875,0
